text,label
"  We present an improved calculation of higher-order corrections to the
one-loop self energy of 2P states in hydrogen-like systems with small nuclear
charge Z. The method is based on a division of the integration with respect to
the photon energy into a high- and a low-energy part. The high-energy part is
calculated by an expansion of the electron propagator in powers of the Coulomb
field. The low-energy part is simplified by the application of a
Foldy-Wouthuysen transformation. This transformation leads to a clear
separation of the leading contribution from the relativistic corrections and
removes higher order terms. The method is applied to the 2P_{1/2} and 2P_{3/2}
states in atomic hydrogen. The results lead to new theoretical values for the
Lamb shifts and the fine structure splitting.
",physics
"  We study the performance of two different electrode models in quantum
transport calculations based on density functional theory: Parametrized Bethe
lattices and quasi-one dimensional wires or nanowires. A detailed account of
implementation details in both cases is given. From the systematic study of
nanocontacts made of representative metallic elements, we can conclude that
parametrized electrode models represent an excellent compromise between
computational cost and electronic structure definition as long as the aim is to
compare with experiments where the precise atomic structure of the electrodes
is not relevant or defined with precision. The results obtained using
parametrized Bethe lattices are essentially similar to the ones obtained with
quasi one dimensional electrodes for large enough sections of these, adding a
natural smearing to the transmission curves that mimics the true nature of
polycrystalline electrodes. The latter are more demanding from the
computational point of view, but present the advantage of expanding the range
of applicability of transport calculations to situations where the electrodes
have a well-defined atomic structure, as is case for carbon nanotubes, graphene
nanoribbons or semiconducting nanowires. All the analysis is done with the help
of codes developed by the authors which can be found in the quantum transport
toolbox Alacant and are publicly available.
",cond-mat
"  The ultimate performance - ratio of electrical conductivity to optical
absorbance - of single- walled carbon nanotube (SWCNTs) transparent conductive
films (TCFs) is an issue of considerable application relevance. Here, we
present direct experimental evidence that SWCNT bundling is detrimental for
their performance. We combine floating catalyst synthesis of non-bundled,
high-quality SWCNTs with an aggregation chamber, in which bundles with mean
diameters ranging from 1.38 to 2.90 nm are formed from identical 3 microns long
SWCNTs. The as-deposited TCFs from 1.38 nm bundles showed sheet resistances of
310 Ohms/sq. at 90% transparency, while those from larger bundles of 1.80 and
2.90 nm only reached values of 475 and 670 Ohms/sq., respectively. Based on
these observations, we elucidate how networks formed by smaller bundles perform
better due to their greater interconnectivity at a given optical density.
Finally, we present a semi-empirical model for TCF performance as a function of
SWCNT mean length and bundle diameter. This gives an estimate for the ultimate
performance of non-doped, random network mixed-metallicity SWCNT TCFs at ~80
Ohms/sq. and 90% transparency.
",cond-mat
"  This paper presents an after-the-fact summary of the participation of the
vitrivr system to the 2018 Video Browser Showdown. A particular focus is on
additions made since the original publication and the systems performance
during the competition.
",cs
"  We perform numerical simulations of impulsively generated Alfv\'en waves in
an isolated photospheric flux tube, and explore the propagation of these waves
along such magnetic structure that extends from the photosphere, where these
waves are triggered, to the solar corona, and analyze resulting magnetic
shells. Our model of the solar atmosphere is constructed by adopting the
temperature distribution based on the semi-empirical model and specifying the
curved magnetic field lines that constitute the magnetic flux tube which is
rooted in the solar photosphere. The evolution of the solar atmosphere is
described by 3D, ideal magnetohydrodynamic equations that are numerically
solved by the FLASH code. Our numerical simulations reveal, based on the
physical properties of the multi-shell magnetic twisters and the amount of
energy and momentum associated with them, that these multi-shell magnetic
twisters may be responsible for the observed heating of the lower solar corona
and for the formation of solar wind. Moreover, it is likely that the existence
of these twisters can be verified by high-resolution observations.
",astro-ph
"  Natural images are generated under many factors, including shape, pose,
illumination etc. Most existing ConvNets formulate object recognition from
natural images as a single task classification problem, and attempt to learn
features useful for object categories, but invariant to other factors of
variation as much as possible. These architectures do not explicitly learn
other factors, like pose and lighting, instead, they usually discard them by
pooling and normalization. In this work, we take the opposite approach: we
train ConvNets for object recognition by retaining other factors (pose in our
case) and learn them jointly with object category. We design a new multi-task
leaning (MTL) ConvNet, named disentangling CNN (disCNN), which explicitly
enforces the disentangled representations of object identity and pose, and is
trained to predict object categories and pose transformations. We show that
disCNN achieves significantly better object recognition accuracies than AlexNet
trained solely to predict object categories on the iLab-20M dataset, which is a
large scale turntable dataset with detailed object pose and lighting
information. We further show that the pretrained disCNN/AlexNet features on
iLab- 20M generalize to object recognition on both Washington RGB-D and
ImageNet datasets, and the pretrained disCNN features are significantly better
than the pretrained AlexNet features for fine-tuning object recognition on the
ImageNet dataset.
",cs
"  We investigate numerically the statistical properties of spectra of
two-dimensional disordered systems by using the exact diagonalization and
decimation method applied to the Anderson model. Statistics of spacings
calculated for system sizes up to 1024 $\times$ 1024 lattice sites exhibits a
crossover between Wigner and Poisson distributions. We perform a self-contained
finite-size scaling analysis to find a single-valued one-parameter function
$\gamma (L/\xi)$ which governs the crossover. The scaling parameter $\xi(W)$ is
deduced and compared with the localization length. $\gamma ( L/\xi)$ does {\em
not} show critical behavior and has two asymptotic regimes corresponding to
weakly and strongly localized states.
",cond-mat
"  We perform an experimental study of DC current induced microwave emission in
a magnetic tunnel junction (MTJ) consisting of three active magnetic layers.
For this tri-layer structure, in addition to a conventional bilayer orthogonal
MTJ containing a perpendicular free layer and an in-plane fixed layer, a second
perpendicular layer has been introduced. We found that the microwave emission
frequency induced by spin-transfer torque (STT) can reach as high as 6 GHz in
the absence of any applied magnetic field. Moreover, microwave emission is
observed for both current polarizations where a redshift is seen with increase
in magnitude of current. We discuss spin-dynamics of the observed
bi-directional high-frequency emission and the physical origin of the
red-shift. The distinct microwave emission properties exhibited in this
tri-layer MTJ structure could potentially be useful for future applications in
nanoscale spintronics devices such as microwave communication and neuromorphic
computing.
",cond-mat
"  The splitting number can be singular. The key method is to construct a
forcing poset with finite support matrix iterations of ccc posets introduced by
Blass and the second author ""Ultrafilters with small generating sets"", Israel
J. Math., 65, (1989)
",math
"  We have observed the continuum emission of the interacting galaxy NGC4631 at
0.87 and 1.23mm using the Heinrich-Hertz-Telescope on Mt. Graham and the IRAM
30-m telescope on Pico Veleta. We have obtained fully sampled maps which cover
the optical emission out to a radius of about 7' at both wavelengths. For a
detailed analysis, we carefully subtracted the line contributions and
synchrotron and free-free emission from the data, which added up to 6% at
1.23mm and 10% at 0.87mm. We combined the flux densities with FIR data to
obtain dust spectra and calculate dust temperatures, absorption cross sections,
and masses. Assuming a ``standard'' dust model, which consists of two
populations of big grains at moderate and warm temperatures, we obtained
temperatures of 18K and 50K for the both components. However, such a model
suffers from an excess of the radiation at 1.23mm, and the dust absorption
cross section seems to be enhanced by a factor 3 compared to previous results
and theoretical expectations. At large galactocentric radii, where the galaxy
shows disturbances as a result of gravitational interaction, this effect seems
to be even stronger. Some possibilities to resolve these problems are
discussed. The data could be explained by a very cold dust component at a
temperature of 4-6K, an increased abundance of very small grains, or a
component of grains with unusual optical properties. We favour the latter
possibility, since the first two lead to inconsistencies.
",astro-ph
